Sample,Potential_V,Current1_A,Current2_A,NaOH_M,Inhibitor_ppm,Temp_C
"1.75M,50PPM, 30",-1.85898,-4.66492e-05,4.66492e-05,1.75,50,30
"1.75M,50PPM, 30",-1.85654,-4.6402e-05,4.6402e-05,1.75,50,30
"1.75M,50PPM, 30",-1.8541,-4.6106e-05,4.6106e-05,1.75,50,30
"1.75M,50PPM, 30",-1.85165,-4.55078e-05,4.55078e-05,1.75,50,30
"1.75M,50PPM, 30",-1.84921,-4.50958e-05,4.50958e-05,1.75,50,30
"1.75M,50PPM, 30",-1.84677,-4.39117e-05,4.39117e-05,1.75,50,30
"1.75M,50PPM, 30",-1.84433,-4.27063e-05,4.27063e-05,1.75,50,30
"1.75M,50PPM, 30",-1.84189,-4.15039e-05,4.15039e-05,1.75,50,30
"1.75M,50PPM, 30",-1.83945,-4.06097e-05,4.06097e-05,1.75,50,30
"1.75M,50PPM, 30",-1.83701,-4.06464e-05,4.06464e-05,1.75,50,30
"1.75M,50PPM, 30",-1.83456,-4.06403e-05,4.06403e-05,1.75,50,30
"1.75M,50PPM, 30",-1.83212,-4.0387e-05,4.0387e-05,1.75,50,30
"1.75M,50PPM, 30",-1.82968,-3.96088e-05,3.96088e-05,1.75,50,30
"1.75M,50PPM, 30",-1.82724,-3.85193e-05,3.85193e-05,1.75,50,30
"1.75M,50PPM, 30",-1.8248,-3.69781e-05,3.69781e-05,1.75,50,30
"1.75M,50PPM, 30",-1.82236,-3.66364e-05,3.66364e-05,1.75,50,30
"1.75M,50PPM, 30",-1.81992,-3.61053e-05,3.61053e-05,1.75,50,30
"1.75M,50PPM, 30",-1.81747,-3.64868e-05,3.64868e-05,1.75,50,30
"1.75M,50PPM, 30",-1.81503,-3.63617e-05,3.63617e-05,1.75,50,30
"1.75M,50PPM, 30",-1.81259,-3.58246e-05,3.58246e-05,1.75,50,30
"1.75M,50PPM, 30",-1.81015,-3.51318e-05,3.51318e-05,1.75,50,30
"1.75M,50PPM, 30",-1.80771,-3.35663e-05,3.35663e-05,1.75,50,30
"1.75M,50PPM, 30",-1.80527,-3.29376e-05,3.29376e-05,1.75,50,30
"1.75M,50PPM, 30",-1.80283,-3.26019e-05,3.26019e-05,1.75,50,30
"1.75M,50PPM, 30",-1.80038,-3.28583e-05,3.28583e-05,1.75,50,30
"1.75M,50PPM, 30",-1.79794,-3.30505e-05,3.30505e-05,1.75,50,30
"1.75M,50PPM, 30",-1.7955,-3.2962e-05,3.2962e-05,1.75,50,30
"1.75M,50PPM, 30",-1.79306,-3.21411e-05,3.21411e-05,1.75,50,30
"1.75M,50PPM, 30",-1.79062,-3.06061e-05,3.06061e-05,1.75,50,30
"1.75M,50PPM, 30",-1.78818,-3.0307e-05,3.0307e-05,1.75,50,30
"1.75M,50PPM, 30",-1.78574,-2.99713e-05,2.99713e-05,1.75,50,30
"1.75M,50PPM, 30",-1.78329,-3.03986e-05,3.03986e-05,1.75,50,30
"1.75M,50PPM, 30",-1.78085,-3.07281e-05,3.07281e-05,1.75,50,30
"1.75M,50PPM, 30",-1.77841,-3.00049e-05,3.00049e-05,1.75,50,30
"1.75M,50PPM, 30",-1.77597,-2.92297e-05,2.92297e-05,1.75,50,30
"1.75M,50PPM, 30",-1.77353,-2.8064e-05,2.8064e-05,1.75,50,30
"1.75M,50PPM, 30",-1.77109,-2.95563e-05,2.95563e-05,1.75,50,30
"1.75M,50PPM, 30",-1.76865,-2.79633e-05,2.79633e-05,1.75,50,30
"1.75M,50PPM, 30",-1.7662,-2.86987e-05,2.86987e-05,1.75,50,30
"1.75M,50PPM, 30",-1.76376,-2.90131e-05,2.90131e-05,1.75,50,30
"1.75M,50PPM, 30",-1.76132,-2.79602e-05,2.79602e-05,1.75,50,30
"1.75M,50PPM, 30",-1.75888,-2.64526e-05,2.64526e-05,1.75,50,30
"1.75M,50PPM, 30",-1.75644,-2.5946e-05,2.5946e-05,1.75,50,30
"1.75M,50PPM, 30",-1.754,-2.59644e-05,2.59644e-05,1.75,50,30
"1.75M,50PPM, 30",-1.75156,-2.64343e-05,2.64343e-05,1.75,50,30
"1.75M,50PPM, 30",-1.74911,-2.6532e-05,2.6532e-05,1.75,50,30
"1.75M,50PPM, 30",-1.74667,-2.612e-05,2.612e-05,1.75,50,30
"1.75M,50PPM, 30",-1.74423,-2.49451e-05,2.49451e-05,1.75,50,30
"1.75M,50PPM, 30",-1.74179,-2.41364e-05,2.41364e-05,1.75,50,30
"1.75M,50PPM, 30",-1.73935,-2.42096e-05,2.42096e-05,1.75,50,30
"1.75M,50PPM, 30",-1.73691,-2.45331e-05,2.45331e-05,1.75,50,30
"1.75M,50PPM, 30",-1.73447,-2.51923e-05,2.51923e-05,1.75,50,30
"1.75M,50PPM, 30",-1.73203,-2.48749e-05,2.48749e-05,1.75,50,30
"1.75M,50PPM, 30",-1.72958,-2.36847e-05,2.36847e-05,1.75,50,30
"1.75M,50PPM, 30",-1.72714,-2.29065e-05,2.29065e-05,1.75,50,30
"1.75M,50PPM, 30",-1.7247,-2.2641e-05,2.2641e-05,1.75,50,30
"1.75M,50PPM, 30",-1.72226,-2.31537e-05,2.31537e-05,1.75,50,30
"1.75M,50PPM, 30",-1.71982,-2.37732e-05,2.37732e-05,1.75,50,30
"1.75M,50PPM, 30",-1.71738,-2.37305e-05,2.37305e-05,1.75,50,30
"1.75M,50PPM, 30",-1.71494,-2.23663e-05,2.23663e-05,1.75,50,30
"1.75M,50PPM, 30",-1.71249,-2.12555e-05,2.12555e-05,1.75,50,30
"1.75M,50PPM, 30",-1.71005,-2.09473e-05,2.09473e-05,1.75,50,30
"1.75M,50PPM, 30",-1.70761,-2.15881e-05,2.15881e-05,1.75,50,30
"1.75M,50PPM, 30",-1.70517,-2.22595e-05,2.22595e-05,1.75,50,30
"1.75M,50PPM, 30",-1.70273,-2.17743e-05,2.17743e-05,1.75,50,30
"1.75M,50PPM, 30",-1.70029,-2.08008e-05,2.08008e-05,1.75,50,30
"1.75M,50PPM, 30",-1.69785,-1.99005e-05,1.99005e-05,1.75,50,30
"1.75M,50PPM, 30",-1.6954,-1.98303e-05,1.98303e-05,1.75,50,30
"1.75M,50PPM, 30",-1.69296,-2.05444e-05,2.05444e-05,1.75,50,30
"1.75M,50PPM, 30",-1.69052,-2.08313e-05,2.08313e-05,1.75,50,30
"1.75M,50PPM, 30",-1.68808,-2.04193e-05,2.04193e-05,1.75,50,30
"1.75M,50PPM, 30",-1.68564,-1.96136e-05,1.96136e-05,1.75,50,30
"1.75M,50PPM, 30",-1.6832,-1.93512e-05,1.93512e-05,1.75,50,30
"1.75M,50PPM, 30",-1.68076,-1.87988e-05,1.87988e-05,1.75,50,30
"1.75M,50PPM, 30",-1.67831,-1.92627e-05,1.92627e-05,1.75,50,30
"1.75M,50PPM, 30",-1.67587,-1.94366e-05,1.94366e-05,1.75,50,30
"1.75M,50PPM, 30",-1.67343,-1.90338e-05,1.90338e-05,1.75,50,30
"1.75M,50PPM, 30",-1.67099,-1.87683e-05,1.87683e-05,1.75,50,30
"1.75M,50PPM, 30",-1.66855,-1.83655e-05,1.83655e-05,1.75,50,30
"1.75M,50PPM, 30",-1.66611,-1.80573e-05,1.80573e-05,1.75,50,30
"1.75M,50PPM, 30",-1.66367,-1.83563e-05,1.83563e-05,1.75,50,30
"1.75M,50PPM, 30",-1.66122,-1.84052e-05,1.84052e-05,1.75,50,30
"1.75M,50PPM, 30",-1.65878,-1.80481e-05,1.80481e-05,1.75,50,30
"1.75M,50PPM, 30",-1.65634,-1.7569e-05,1.7569e-05,1.75,50,30
"1.75M,50PPM, 30",-1.6539,-1.71387e-05,1.71387e-05,1.75,50,30
"1.75M,50PPM, 30",-1.65146,-1.76178e-05,1.76178e-05,1.75,50,30
"1.75M,50PPM, 30",-1.64902,-1.78711e-05,1.78711e-05,1.75,50,30
"1.75M,50PPM, 30",-1.64658,-1.77277e-05,1.77277e-05,1.75,50,30
"1.75M,50PPM, 30",-1.64413,-1.7337e-05,1.7337e-05,1.75,50,30
"1.75M,50PPM, 30",-1.64169,-1.70471e-05,1.70471e-05,1.75,50,30
"1.75M,50PPM, 30",-1.63925,-1.67999e-05,1.67999e-05,1.75,50,30
"1.75M,50PPM, 30",-1.63681,-1.72668e-05,1.72668e-05,1.75,50,30
"1.75M,50PPM, 30",-1.63437,-1.72913e-05,1.72913e-05,1.75,50,30
"1.75M,50PPM, 30",-1.63193,-1.6684e-05,1.6684e-05,1.75,50,30
"1.75M,50PPM, 30",-1.62949,-1.61102e-05,1.61102e-05,1.75,50,30
"1.75M,50PPM, 30",-1.62704,-1.56219e-05,1.56219e-05,1.75,50,30
"1.75M,50PPM, 30",-1.6246,-1.58356e-05,1.58356e-05,1.75,50,30
"1.75M,50PPM, 30",-1.62216,-1.64032e-05,1.64032e-05,1.75,50,30
"1.75M,50PPM, 30",-1.61972,-1.59088e-05,1.59088e-05,1.75,50,30
"1.75M,50PPM, 30",-1.61728,-1.56647e-05,1.56647e-05,1.75,50,30
"1.75M,50PPM, 30",-1.61484,-1.53931e-05,1.53931e-05,1.75,50,30
"1.75M,50PPM, 30",-1.6124,-1.43036e-05,1.43036e-05,1.75,50,30
"1.75M,50PPM, 30",-1.60995,-1.51611e-05,1.51611e-05,1.75,50,30
"1.75M,50PPM, 30",-1.60751,-1.54144e-05,1.54144e-05,1.75,50,30
"1.75M,50PPM, 30",-1.60507,-1.53564e-05,1.53564e-05,1.75,50,30
"1.75M,50PPM, 30",-1.60263,-1.50024e-05,1.50024e-05,1.75,50,30
"1.75M,50PPM, 30",-1.60019,-1.46881e-05,1.46881e-05,1.75,50,30
"1.75M,50PPM, 30",-1.59775,-1.44073e-05,1.44073e-05,1.75,50,30
"1.75M,50PPM, 30",-1.59531,-1.48102e-05,1.48102e-05,1.75,50,30
"1.75M,50PPM, 30",-1.59286,-1.4978e-05,1.4978e-05,1.75,50,30
"1.75M,50PPM, 30",-1.59042,-1.4563e-05,1.4563e-05,1.75,50,30
"1.75M,50PPM, 30",-1.58798,-1.41327e-05,1.41327e-05,1.75,50,30
"1.75M,50PPM, 30",-1.58554,-1.42731e-05,1.42731e-05,1.75,50,30
"1.75M,50PPM, 30",-1.5831,-1.37054e-05,1.37054e-05,1.75,50,30
"1.75M,50PPM, 30",-1.58066,-1.44775e-05,1.44775e-05,1.75,50,30
"1.75M,50PPM, 30",-1.57822,-1.38e-05,1.38e-05,1.75,50,30
"1.75M,50PPM, 30",-1.57578,-1.3913e-05,1.3913e-05,1.75,50,30
"1.75M,50PPM, 30",-1.57333,-1.33453e-05,1.33453e-05,1.75,50,30
"1.75M,50PPM, 30",-1.57089,-1.25061e-05,1.25061e-05,1.75,50,30
"1.75M,50PPM, 30",-1.56845,-1.3208e-05,1.3208e-05,1.75,50,30
"1.75M,50PPM, 30",-1.56601,-1.35925e-05,1.35925e-05,1.75,50,30
"1.75M,50PPM, 30",-1.56357,-1.35498e-05,1.35498e-05,1.75,50,30
"1.75M,50PPM, 30",-1.56113,-1.30066e-05,1.30066e-05,1.75,50,30
"1.75M,50PPM, 30",-1.55869,-1.26404e-05,1.26404e-05,1.75,50,30
"1.75M,50PPM, 30",-1.55624,-1.26648e-05,1.26648e-05,1.75,50,30
"1.75M,50PPM, 30",-1.5538,-1.28815e-05,1.28815e-05,1.75,50,30
"1.75M,50PPM, 30",-1.55136,-1.31744e-05,1.31744e-05,1.75,50,30
"1.75M,50PPM, 30",-1.54892,-1.29333e-05,1.29333e-05,1.75,50,30
"1.75M,50PPM, 30",-1.54648,-1.21643e-05,1.21643e-05,1.75,50,30
"1.75M,50PPM, 30",-1.54404,-1.14136e-05,1.14136e-05,1.75,50,30
"1.75M,50PPM, 30",-1.5416,-1.23932e-05,1.23932e-05,1.75,50,30
"1.75M,50PPM, 30",-1.53915,-1.27716e-05,1.27716e-05,1.75,50,30
"1.75M,50PPM, 30",-1.53671,-1.26221e-05,1.26221e-05,1.75,50,30
"1.75M,50PPM, 30",-1.53427,-1.17371e-05,1.17371e-05,1.75,50,30
"1.75M,50PPM, 30",-1.53183,-1.16425e-05,1.16425e-05,1.75,50,30
"1.75M,50PPM, 30",-1.52939,-1.14105e-05,1.14105e-05,1.75,50,30
"1.75M,50PPM, 30",-1.52695,-1.20758e-05,1.20758e-05,1.75,50,30
"1.75M,50PPM, 30",-1.52451,-1.2616e-05,1.2616e-05,1.75,50,30
"1.75M,50PPM, 30",-1.52206,-1.15051e-05,1.15051e-05,1.75,50,30
"1.75M,50PPM, 30",-1.51962,-1.10626e-05,1.10626e-05,1.75,50,30
"1.75M,50PPM, 30",-1.51718,-1.09131e-05,1.09131e-05,1.75,50,30
"1.75M,50PPM, 30",-1.51474,-1.1319e-05,1.1319e-05,1.75,50,30
"1.75M,50PPM, 30",-1.5123,-1.17279e-05,1.17279e-05,1.75,50,30
"1.75M,50PPM, 30",-1.50986,-1.13098e-05,1.13098e-05,1.75,50,30
"1.75M,50PPM, 30",-1.50742,-1.06232e-05,1.06232e-05,1.75,50,30
"1.75M,50PPM, 30",-1.50497,-1.06262e-05,1.06262e-05,1.75,50,30
"1.75M,50PPM, 30",-1.50253,-1.09924e-05,1.09924e-05,1.75,50,30
"1.75M,50PPM, 30",-1.50009,-1.13251e-05,1.13251e-05,1.75,50,30
"1.75M,50PPM, 30",-1.49765,-1.1264e-05,1.1264e-05,1.75,50,30
"1.75M,50PPM, 30",-1.49521,-1.05469e-05,1.05469e-05,1.75,50,30
"1.75M,50PPM, 30",-1.49277,-9.69238e-06,9.69238e-06,1.75,50,30
"1.75M,50PPM, 30",-1.49033,-1.05743e-05,1.05743e-05,1.75,50,30
"1.75M,50PPM, 30",-1.48788,-1.08521e-05,1.08521e-05,1.75,50,30
"1.75M,50PPM, 30",-1.48544,-1.073e-05,1.073e-05,1.75,50,30
"1.75M,50PPM, 30",-1.483,-1.02539e-05,1.02539e-05,1.75,50,30
"1.75M,50PPM, 30",-1.48056,-9.6344e-06,9.6344e-06,1.75,50,30
"1.75M,50PPM, 30",-1.47812,-9.94263e-06,9.94263e-06,1.75,50,30
"1.75M,50PPM, 30",-1.47568,-1.0553e-05,1.0553e-05,1.75,50,30
"1.75M,50PPM, 30",-1.47324,-1.03668e-05,1.03668e-05,1.75,50,30
"1.75M,50PPM, 30",-1.47079,-9.83582e-06,9.83582e-06,1.75,50,30
"1.75M,50PPM, 30",-1.46835,-9.53369e-06,9.53369e-06,1.75,50,30
"1.75M,50PPM, 30",-1.46591,-9.38416e-06,9.38416e-06,1.75,50,30
"1.75M,50PPM, 30",-1.46347,-1.01532e-05,1.01532e-05,1.75,50,30
"1.75M,50PPM, 30",-1.46103,-1.02631e-05,1.02631e-05,1.75,50,30
"1.75M,50PPM, 30",-1.45859,-9.38416e-06,9.38416e-06,1.75,50,30
"1.75M,50PPM, 30",-1.45615,-9.20715e-06,9.20715e-06,1.75,50,30
"1.75M,50PPM, 30",-1.4537,-9.07288e-06,9.07288e-06,1.75,50,30
"1.75M,50PPM, 30",-1.45126,-9.74121e-06,9.74121e-06,1.75,50,30
"1.75M,50PPM, 30",-1.44882,-9.71985e-06,9.71985e-06,1.75,50,30
"1.75M,50PPM, 30",-1.44638,-9.1217e-06,9.1217e-06,1.75,50,30
"1.75M,50PPM, 30",-1.44394,-8.67004e-06,8.67004e-06,1.75,50,30
"1.75M,50PPM, 30",-1.4415,-8.9447e-06,8.9447e-06,1.75,50,30
"1.75M,50PPM, 30",-1.43906,-9.43298e-06,9.43298e-06,1.75,50,30
"1.75M,50PPM, 30",-1.43661,-9.22546e-06,9.22546e-06,1.75,50,30
"1.75M,50PPM, 30",-1.43417,-8.92944e-06,8.92944e-06,1.75,50,30
"1.75M,50PPM, 30",-1.43173,-8.29468e-06,8.29468e-06,1.75,50,30
"1.75M,50PPM, 30",-1.42929,-8.42896e-06,8.42896e-06,1.75,50,30
"1.75M,50PPM, 30",-1.42685,-9.07288e-06,9.07288e-06,1.75,50,30
"1.75M,50PPM, 30",-1.42441,-8.53271e-06,8.53271e-06,1.75,50,30
"1.75M,50PPM, 30",-1.42197,-8.84705e-06,8.84705e-06,1.75,50,30
"1.75M,50PPM, 30",-1.41953,-8.11157e-06,8.11157e-06,1.75,50,30
"1.75M,50PPM, 30",-1.41708,-8.08716e-06,8.08716e-06,1.75,50,30
"1.75M,50PPM, 30",-1.41464,-8.78296e-06,8.78296e-06,1.75,50,30
"1.75M,50PPM, 30",-1.4122,-8.88977e-06,8.88977e-06,1.75,50,30
"1.75M,50PPM, 30",-1.40976,-8.58154e-06,8.58154e-06,1.75,50,30
"1.75M,50PPM, 30",-1.40732,-7.94373e-06,7.94373e-06,1.75,50,30
"1.75M,50PPM, 30",-1.40488,-7.76978e-06,7.76978e-06,1.75,50,30
"1.75M,50PPM, 30",-1.40244,-8.52051e-06,8.52051e-06,1.75,50,30
"1.75M,50PPM, 30",-1.39999,-8.89893e-06,8.89893e-06,1.75,50,30
"1.75M,50PPM, 30",-1.39755,-8.31909e-06,8.31909e-06,1.75,50,30
"1.75M,50PPM, 30",-1.39511,-7.73315e-06,7.73315e-06,1.75,50,30
"1.75M,50PPM, 30",-1.39267,-7.51343e-06,7.51343e-06,1.75,50,30
"1.75M,50PPM, 30",-1.39023,-8.21228e-06,8.21228e-06,1.75,50,30
"1.75M,50PPM, 30",-1.38779,-8.48389e-06,8.48389e-06,1.75,50,30
"1.75M,50PPM, 30",-1.38535,-8.12988e-06,8.12988e-06,1.75,50,30
"1.75M,50PPM, 30",-1.3829,-7.46765e-06,7.46765e-06,1.75,50,30
"1.75M,50PPM, 30",-1.38046,-7.31659e-06,7.31659e-06,1.75,50,30
"1.75M,50PPM, 30",-1.37802,-7.91931e-06,7.91931e-06,1.75,50,30
"1.75M,50PPM, 30",-1.37558,-8.11157e-06,8.11157e-06,1.75,50,30
"1.75M,50PPM, 30",-1.37314,-7.83386e-06,7.83386e-06,1.75,50,30
"1.75M,50PPM, 30",-1.3707,-7.099e-06,7.099e-06,1.75,50,30
"1.75M,50PPM, 30",-1.36826,-7.03308e-06,7.03308e-06,1.75,50,30
"1.75M,50PPM, 30",-1.36581,-8.45947e-06,8.45947e-06,1.75,50,30
"1.75M,50PPM, 30",-1.36337,-8.00171e-06,8.00171e-06,1.75,50,30
"1.75M,50PPM, 30",-1.36093,-8.20923e-06,8.20923e-06,1.75,50,30
"1.75M,50PPM, 30",-1.35849,-7.10785e-06,7.10785e-06,1.75,50,30
"1.75M,50PPM, 30",-1.35605,-7.35535e-06,7.35535e-06,1.75,50,30
"1.75M,50PPM, 30",-1.35361,-7.7301e-06,7.7301e-06,1.75,50,30
"1.75M,50PPM, 30",-1.35117,-7.85217e-06,7.85217e-06,1.75,50,30
"1.75M,50PPM, 30",-1.34872,-7.43805e-06,7.43805e-06,1.75,50,30
"1.75M,50PPM, 30",-1.34628,-7.0282e-06,7.0282e-06,1.75,50,30
"1.75M,50PPM, 30",-1.34384,-7.24854e-06,7.24854e-06,1.75,50,30
"1.75M,50PPM, 30",-1.3414,-8.28247e-06,8.28247e-06,1.75,50,30
"1.75M,50PPM, 30",-1.33896,-7.95624e-06,7.95624e-06,1.75,50,30
"1.75M,50PPM, 30",-1.33652,-8.37402e-06,8.37402e-06,1.75,50,30
"1.75M,50PPM, 30",-1.33408,-1.00281e-05,1.00281e-05,1.75,50,30
"1.75M,50PPM, 30",-1.33163,-1.02386e-05,1.02386e-05,1.75,50,30
"1.75M,50PPM, 30",-1.32919,-1.14502e-05,1.14502e-05,1.75,50,30
"1.75M,50PPM, 30",-1.32675,-1.11359e-05,1.11359e-05,1.75,50,30
"1.75M,50PPM, 30",-1.32431,-6.5979e-06,6.5979e-06,1.75,50,30
"1.75M,50PPM, 30",-1.32187,-6.28662e-06,6.28662e-06,1.75,50,30
"1.75M,50PPM, 30",-1.31943,-6.70288e-06,6.70288e-06,1.75,50,30
"1.75M,50PPM, 30",-1.31699,-7.12402e-06,7.12402e-06,1.75,50,30
"1.75M,50PPM, 30",-1.31454,-6.8631e-06,6.8631e-06,1.75,50,30
"1.75M,50PPM, 30",-1.3121,-6.27472e-06,6.27472e-06,1.75,50,30
"1.75M,50PPM, 30",-1.30966,-6.11176e-06,6.11176e-06,1.75,50,30
"1.75M,50PPM, 30",-1.30722,-6.06049e-06,6.06049e-06,1.75,50,30
"1.75M,50PPM, 30",-1.30478,-6.62445e-06,6.62445e-06,1.75,50,30
"1.75M,50PPM, 30",-1.30234,-6.80237e-06,6.80237e-06,1.75,50,30
"1.75M,50PPM, 30",-1.2999,-6.03455e-06,6.03455e-06,1.75,50,30
"1.75M,50PPM, 30",-1.29745,-5.09308e-06,5.09308e-06,1.75,50,30
"1.75M,50PPM, 30",-1.29501,-6.03363e-06,6.03363e-06,1.75,50,30
"1.75M,50PPM, 30",-1.29257,-6.61377e-06,6.61377e-06,1.75,50,30
"1.75M,50PPM, 30",-1.29013,-6.409e-06,6.409e-06,1.75,50,30
"1.75M,50PPM, 30",-1.28769,-5.7489e-06,5.7489e-06,1.75,50,30
"1.75M,50PPM, 30",-1.28525,-5.71594e-06,5.71594e-06,1.75,50,30
"1.75M,50PPM, 30",-1.28281,-5.99396e-06,5.99396e-06,1.75,50,30
"1.75M,50PPM, 30",-1.28036,-6.44379e-06,6.44379e-06,1.75,50,30
"1.75M,50PPM, 30",-1.27792,-6.08368e-06,6.08368e-06,1.75,50,30
"1.75M,50PPM, 30",-1.27548,-5.53619e-06,5.53619e-06,1.75,50,30
"1.75M,50PPM, 30",-1.27304,-5.06927e-06,5.06927e-06,1.75,50,30
"1.75M,50PPM, 30",-1.2706,-5.85571e-06,5.85571e-06,1.75,50,30
"1.75M,50PPM, 30",-1.26816,-6.23047e-06,6.23047e-06,1.75,50,30
"1.75M,50PPM, 30",-1.26572,-5.98907e-06,5.98907e-06,1.75,50,30
"1.75M,50PPM, 30",-1.26328,-5.11749e-06,5.11749e-06,1.75,50,30
"1.75M,50PPM, 30",-1.26083,-5.01556e-06,5.01556e-06,1.75,50,30
"1.75M,50PPM, 30",-1.25839,-5.72723e-06,5.72723e-06,1.75,50,30
"1.75M,50PPM, 30",-1.25595,-5.58167e-06,5.58167e-06,1.75,50,30
"1.75M,50PPM, 30",-1.25351,-5.45502e-06,5.45502e-06,1.75,50,30
"1.75M,50PPM, 30",-1.25107,-4.67987e-06,4.67987e-06,1.75,50,30
"1.75M,50PPM, 30",-1.24863,-4.96399e-06,4.96399e-06,1.75,50,30
"1.75M,50PPM, 30",-1.24619,-5.95123e-06,5.95123e-06,1.75,50,30
"1.75M,50PPM, 30",-1.24374,-5.58441e-06,5.58441e-06,1.75,50,30
"1.75M,50PPM, 30",-1.2413,-5.00702e-06,5.00702e-06,1.75,50,30
"1.75M,50PPM, 30",-1.23886,-4.69513e-06,4.69513e-06,1.75,50,30
"1.75M,50PPM, 30",-1.23642,-4.86115e-06,4.86115e-06,1.75,50,30
"1.75M,50PPM, 30",-1.23398,-5.60638e-06,5.60638e-06,1.75,50,30
"1.75M,50PPM, 30",-1.23154,-5.43488e-06,5.43488e-06,1.75,50,30
"1.75M,50PPM, 30",-1.2291,-4.6701e-06,4.6701e-06,1.75,50,30
"1.75M,50PPM, 30",-1.22665,-4.90997e-06,4.90997e-06,1.75,50,30
"1.75M,50PPM, 30",-1.22421,-5.06287e-06,5.06287e-06,1.75,50,30
"1.75M,50PPM, 30",-1.22177,-5.55145e-06,5.55145e-06,1.75,50,30
"1.75M,50PPM, 30",-1.21933,-5.14374e-06,5.14374e-06,1.75,50,30
"1.75M,50PPM, 30",-1.21689,-4.47662e-06,4.47662e-06,1.75,50,30
"1.75M,50PPM, 30",-1.21445,-4.37897e-06,4.37897e-06,1.75,50,30
"1.75M,50PPM, 30",-1.21201,-5.1825e-06,5.1825e-06,1.75,50,30
"1.75M,50PPM, 30",-1.20956,-5.72357e-06,5.72357e-06,1.75,50,30
"1.75M,50PPM, 30",-1.20712,-4.5929e-06,4.5929e-06,1.75,50,30
"1.75M,50PPM, 30",-1.20468,-4.27887e-06,4.27887e-06,1.75,50,30
"1.75M,50PPM, 30",-1.20224,-4.47205e-06,4.47205e-06,1.75,50,30
"1.75M,50PPM, 30",-1.1998,-5.13062e-06,5.13062e-06,1.75,50,30
"1.75M,50PPM, 30",-1.19736,-5.09125e-06,5.09125e-06,1.75,50,30
"1.75M,50PPM, 30",-1.19492,-4.20593e-06,4.20593e-06,1.75,50,30
"1.75M,50PPM, 30",-1.19247,-3.78967e-06,3.78967e-06,1.75,50,30
"1.75M,50PPM, 30",-1.19003,-4.70093e-06,4.70093e-06,1.75,50,30
"1.75M,50PPM, 30",-1.18759,-5.18585e-06,5.18585e-06,1.75,50,30
"1.75M,50PPM, 30",-1.18515,-4.4577e-06,4.4577e-06,1.75,50,30
"1.75M,50PPM, 30",-1.18271,-3.95996e-06,3.95996e-06,1.75,50,30
"1.75M,50PPM, 30",-1.18027,-3.98438e-06,3.98438e-06,1.75,50,30
"1.75M,50PPM, 30",-1.17783,-4.83612e-06,4.83612e-06,1.75,50,30
