Sample,Potential_V,Current1_A,Current2_A,HCl_M,Inhibitor_ppm,Temp_C
"1.75M,50PPM, 30",-1.86386,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.86142,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.85898,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.85654,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.8541,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.85165,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.84921,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.84677,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.84433,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.84189,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.83945,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.83701,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.83456,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.83212,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.82968,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.82724,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.8248,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.82236,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.81992,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.81747,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.81503,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.81259,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.81015,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.80771,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.80527,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.80283,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.80038,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.79794,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.7955,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.79306,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.79062,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.78818,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.78574,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.78329,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.78085,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.77841,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.77597,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.77353,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.77109,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.76865,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.7662,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.76376,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.76132,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.75888,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.75644,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.754,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.75156,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.74911,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.74667,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.74423,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.74179,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.73935,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.73691,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.73447,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.73203,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.72958,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.72714,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.7247,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.72226,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.71982,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.71738,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.71494,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.71249,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.71005,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.70761,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.70517,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.70273,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.70029,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.69785,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.6954,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.69296,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.69052,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.68808,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.68564,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.6832,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.68076,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.67831,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.67587,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.67343,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.67099,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.66855,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.66611,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.66367,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.66122,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.65878,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.65634,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.6539,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.65146,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.64902,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.64658,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.64413,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.64169,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.63925,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.63681,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.63437,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.63193,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.62949,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.62704,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.6246,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.62216,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.61972,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.61728,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.61484,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.6124,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.60995,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.60751,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.60507,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.60263,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.60019,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.59775,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.59531,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.59286,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.59042,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.58798,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.58554,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.5831,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.58066,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.57822,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.57578,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.57333,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.57089,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.56845,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.56601,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.56357,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.56113,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.55869,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.55624,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.5538,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.55136,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.54892,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.54648,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.54404,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.5416,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.53915,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.53671,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.53427,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.53183,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.52939,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.52695,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.52451,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.52206,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.51962,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.51718,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.51474,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.5123,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.50986,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.50742,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.50497,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.50253,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.50009,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.49765,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.49521,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.49277,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.49033,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.48788,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.48544,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.483,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.48056,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.47812,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.47568,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.47324,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.47079,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.46835,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.46591,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.46347,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.46103,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.45859,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.45615,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.4537,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.45126,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.44882,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.44638,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.44394,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.4415,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.43906,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.43661,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.43417,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.43173,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.42929,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.42685,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.42441,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.42197,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.41953,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.41708,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.41464,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.4122,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.40976,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.40732,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.40488,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.40244,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.39999,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.39755,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.39511,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.39267,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.39023,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.38779,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.38535,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.3829,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.38046,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.37802,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.37558,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.37314,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.3707,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.36826,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.36581,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.36337,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.36093,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.35849,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.35605,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.35361,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.35117,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.34872,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.34628,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.34384,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.3414,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.33896,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.33652,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.33408,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.33163,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.32919,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.32675,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.32431,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.32187,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.31943,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.31699,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.31454,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.3121,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.30966,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.30722,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.30478,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.30234,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.2999,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.29745,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.29501,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.29257,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.29013,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.28769,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.28525,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.28281,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.28036,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.27792,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.27548,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.27304,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.2706,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.26816,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.26572,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.26328,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.26083,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.25839,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.25595,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.25351,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.25107,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.24863,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.24619,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.24374,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.2413,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.23886,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.23642,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.23398,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.23154,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.2291,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.22665,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.22421,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.22177,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.21933,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.21689,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.21445,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.21201,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.20956,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.20712,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.20468,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.20224,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.1998,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.19736,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.19492,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.19247,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.19003,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.18759,-0.0999969,0.0999969,1.75,50,30
